State,Year,Month,Condition,BehavioralHealthService,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2018,201806,Substance use disorder,Outpatient,3432,2.8,
Alabama,2018,201806,Mental health disorder,Telehealth,66,0.1,
Alabama,2018,201806,Substance use disorder,Telehealth,69,0.1,
Alabama,2018,201807,Mental health disorder,Emergency department,6123,4.9,
Alabama,2018,201807,Substance use disorder,Emergency department,9266,7.4,
Alabama,2018,201807,Mental health disorder,Inpatient,3535,2.8,
Alabama,2018,201807,Substance use disorder,Inpatient,4010,3.2,
Alabama,2018,201807,Mental health disorder,Intensive outpatient/Partial hospitalization,15283,12.1,
Alabama,2018,201807,Substance use disorder,Intensive outpatient/Partial hospitalization,10253,8.1,
Alabama,2018,201807,Mental health disorder,Outpatient,115749,91.8,
Alabama,2018,201807,Substance use disorder,Outpatient,3447,2.7,
Alabama,2018,201807,Mental health disorder,Telehealth,42,0.0,
Alabama,2018,201807,Substance use disorder,Telehealth,57,0.0,
Alabama,2018,201808,Mental health disorder,Emergency department,6604,5.1,
Alabama,2018,201808,Substance use disorder,Emergency department,9253,7.2,
Alabama,2018,201808,Mental health disorder,Inpatient,3652,2.8,
Alabama,2018,201808,Substance use disorder,Inpatient,3964,3.1,
Alabama,2018,201808,Mental health disorder,Intensive outpatient/Partial hospitalization,10709,8.3,
Alabama,2018,201808,Substance use disorder,Intensive outpatient/Partial hospitalization,10885,8.4,
Alabama,2018,201808,Mental health disorder,Outpatient,130687,101.3,
Alabama,2018,201808,Substance use disorder,Outpatient,3373,2.6,
Alabama,2018,201808,Mental health disorder,Telehealth,53,0.0,
Alabama,2018,201808,Substance use disorder,Telehealth,75,0.1,
Alabama,2018,201809,Mental health disorder,Emergency department,6881,5.4,
Alabama,2018,201809,Substance use disorder,Emergency department,9167,7.1,
Alabama,2018,201809,Mental health disorder,Inpatient,3491,2.7,
Alabama,2018,201809,Substance use disorder,Inpatient,3858,3.0,
Alabama,2018,201809,Mental health disorder,Intensive outpatient/Partial hospitalization,10174,7.9,
Alabama,2018,201809,Substance use disorder,Intensive outpatient/Partial hospitalization,9422,7.3,
Alabama,2018,201809,Mental health disorder,Outpatient,122259,95.1,
Alabama,2018,201809,Substance use disorder,Outpatient,2650,2.1,
Alabama,2018,201809,Mental health disorder,Telehealth,40,0.0,
Alabama,2018,201809,Substance use disorder,Telehealth,62,0.0,
Alabama,2018,201810,Mental health disorder,Emergency department,6362,4.9,
Alabama,2018,201810,Substance use disorder,Emergency department,8874,6.8,
Alabama,2018,201810,Mental health disorder,Inpatient,3551,2.7,
Alabama,2018,201810,Substance use disorder,Inpatient,3912,3.0,
Alabama,2018,201810,Mental health disorder,Intensive outpatient/Partial hospitalization,12258,9.4,
Alabama,2018,201810,Substance use disorder,Intensive outpatient/Partial hospitalization,9942,7.6,
Alabama,2018,201810,Mental health disorder,Outpatient,139511,106.6,
Alabama,2018,201810,Substance use disorder,Outpatient,3097,2.4,
Alabama,2018,201810,Mental health disorder,Telehealth,42,0.0,
Alabama,2018,201810,Substance use disorder,Telehealth,57,0.0,
Alabama,2018,201811,Mental health disorder,Emergency department,5971,4.6,
Alabama,2018,201811,Substance use disorder,Emergency department,8279,6.4,
Alabama,2018,201811,Mental health disorder,Inpatient,3266,2.5,
Alabama,2018,201811,Substance use disorder,Inpatient,3581,2.8,
Alabama,2018,201811,Mental health disorder,Intensive outpatient/Partial hospitalization,9995,7.7,
Alabama,2018,201811,Substance use disorder,Intensive outpatient/Partial hospitalization,8822,6.8,
Alabama,2018,201811,Mental health disorder,Outpatient,126027,97.0,
Alabama,2018,201811,Substance use disorder,Outpatient,2582,2.0,
Alabama,2018,201811,Mental health disorder,Telehealth,42,0.0,
Alabama,2018,201811,Substance use disorder,Telehealth,71,0.1,
Alabama,2018,201812,Mental health disorder,Emergency department,6035,4.7,
Alabama,2018,201812,Substance use disorder,Emergency department,8874,6.9,
Alabama,2018,201812,Mental health disorder,Inpatient,3180,2.5,
Alabama,2018,201812,Substance use disorder,Inpatient,3571,2.8,
Alabama,2018,201812,Mental health disorder,Intensive outpatient/Partial hospitalization,9029,7.0,
Alabama,2018,201812,Substance use disorder,Intensive outpatient/Partial hospitalization,7863,6.1,
Alabama,2018,201812,Mental health disorder,Outpatient,114654,89.1,
Alabama,2018,201812,Substance use disorder,Outpatient,2082,1.6,
Alabama,2018,201812,Mental health disorder,Telehealth,34,0.0,
Alabama,2018,201812,Substance use disorder,Telehealth,69,0.1,
Alabama,2019,201901,Mental health disorder,Emergency department,6608,5.0,
Alabama,2019,201901,Substance use disorder,Emergency department,9483,7.2,
Alabama,2019,201901,Mental health disorder,Inpatient,3562,2.7,
Alabama,2019,201901,Substance use disorder,Inpatient,3974,3.0,
Alabama,2019,201901,Mental health disorder,Intensive outpatient/Partial hospitalization,10990,8.3,
Alabama,2019,201901,Substance use disorder,Intensive outpatient/Partial hospitalization,10536,8.0,
Alabama,2019,201901,Mental health disorder,Outpatient,142038,107.8,
Alabama,2019,201901,Substance use disorder,Outpatient,2663,2.0,
Alabama,2019,201901,Mental health disorder,Telehealth,67,0.1,
Alabama,2019,201901,Substance use disorder,Telehealth,98,0.1,
Alabama,2019,201902,Mental health disorder,Emergency department,5944,4.5,
Alabama,2019,201902,Substance use disorder,Emergency department,8785,6.6,
Alabama,2019,201902,Mental health disorder,Inpatient,3384,2.6,
Alabama,2019,201902,Substance use disorder,Inpatient,3566,2.7,
Alabama,2019,201902,Mental health disorder,Intensive outpatient/Partial hospitalization,10815,8.2,
Alabama,2019,201902,Substance use disorder,Intensive outpatient/Partial hospitalization,9738,7.3,
Alabama,2019,201902,Mental health disorder,Outpatient,131242,99.0,
Alabama,2019,201902,Substance use disorder,Outpatient,2640,2.0,
Alabama,2019,201902,Mental health disorder,Telehealth,74,0.1,
Alabama,2019,201902,Substance use disorder,Telehealth,80,0.1,
Alabama,2019,201903,Mental health disorder,Emergency department,6190,4.7,
Alabama,2019,201903,Substance use disorder,Emergency department,9313,7.1,
Alabama,2019,201903,Mental health disorder,Inpatient,3512,2.7,
Alabama,2019,201903,Substance use disorder,Inpatient,3777,2.9,
Alabama,2019,201903,Mental health disorder,Intensive outpatient/Partial hospitalization,11098,8.4,
Alabama,2019,201903,Substance use disorder,Intensive outpatient/Partial hospitalization,9786,7.4,
Alabama,2019,201903,Mental health disorder,Outpatient,134627,102.2,
Alabama,2019,201903,Substance use disorder,Outpatient,2715,2.1,
Alabama,2019,201903,Mental health disorder,Telehealth,62,0.0,
Alabama,2019,201903,Substance use disorder,Telehealth,66,0.1,
Alabama,2019,201904,Mental health disorder,Emergency department,6281,4.7,
Alabama,2019,201904,Substance use disorder,Emergency department,8925,6.7,
Alabama,2019,201904,Mental health disorder,Inpatient,3570,2.7,
Alabama,2019,201904,Substance use disorder,Inpatient,3709,2.8,
Alabama,2019,201904,Mental health disorder,Intensive outpatient/Partial hospitalization,12227,9.2,
Alabama,2019,201904,Substance use disorder,Intensive outpatient/Partial hospitalization,10556,8.0,
Alabama,2019,201904,Mental health disorder,Outpatient,141594,106.8,
Alabama,2019,201904,Substance use disorder,Outpatient,3098,2.3,
Alabama,2019,201904,Mental health disorder,Telehealth,90,0.1,
Alabama,2019,201904,Substance use disorder,Telehealth,91,0.1,
Alabama,2019,201905,Mental health disorder,Emergency department,6109,4.6,
Alabama,2019,201905,Substance use disorder,Emergency department,9273,7.0,
Alabama,2019,201905,Mental health disorder,Inpatient,3456,2.6,
Alabama,2019,201905,Substance use disorder,Inpatient,3922,3.0,
Alabama,2019,201905,Mental health disorder,Intensive outpatient/Partial hospitalization,11975,9.1,
Alabama,2019,201905,Substance use disorder,Intensive outpatient/Partial hospitalization,10626,8.1,
Alabama,2019,201905,Mental health disorder,Outpatient,135497,102.8,
Alabama,2019,201905,Substance use disorder,Outpatient,3020,2.3,
Alabama,2019,201905,Mental health disorder,Telehealth,89,0.1,
Alabama,2019,201905,Substance use disorder,Telehealth,72,0.1,
Alabama,2019,201906,Mental health disorder,Emergency department,5904,4.5,
Alabama,2019,201906,Substance use disorder,Emergency department,9163,7.0,
Alabama,2019,201906,Mental health disorder,Inpatient,3452,2.7,
Alabama,2019,201906,Substance use disorder,Inpatient,3768,2.9,
Alabama,2019,201906,Mental health disorder,Intensive outpatient/Partial hospitalization,15436,11.9,
Alabama,2019,201906,Substance use disorder,Intensive outpatient/Partial hospitalization,9899,7.6,
Alabama,2019,201906,Mental health disorder,Outpatient,121325,93.2,
Alabama,2019,201906,Substance use disorder,Outpatient,2793,2.1,
Alabama,2019,201906,Mental health disorder,Telehealth,68,0.1,
Alabama,2019,201906,Substance use disorder,Telehealth,90,0.1,
Alabama,2019,201907,Mental health disorder,Emergency department,6048,4.6,
Alabama,2019,201907,Substance use disorder,Emergency department,9329,7.1,
Alabama,2019,201907,Mental health disorder,Inpatient,3573,2.7,
Alabama,2019,201907,Substance use disorder,Inpatient,3931,3.0,
Alabama,2019,201907,Mental health disorder,Intensive outpatient/Partial hospitalization,14345,10.9,
Alabama,2019,201907,Substance use disorder,Intensive outpatient/Partial hospitalization,10625,8.0,
Alabama,2019,201907,Mental health disorder,Outpatient,129540,98.1,
Alabama,2019,201907,Substance use disorder,Outpatient,2860,2.2,
Alabama,2019,201907,Mental health disorder,Telehealth,42,0.0,
Alabama,2019,201907,Substance use disorder,Telehealth,60,0.0,
Alabama,2019,201908,Mental health disorder,Emergency department,6218,4.7,
Alabama,2019,201908,Substance use disorder,Emergency department,9069,6.8,
Alabama,2019,201908,Mental health disorder,Inpatient,3613,2.7,
Alabama,2019,201908,Substance use disorder,Inpatient,3938,3.0,
Alabama,2019,201908,Mental health disorder,Intensive outpatient/Partial hospitalization,10397,7.8,
Alabama,2019,201908,Substance use disorder,Intensive outpatient/Partial hospitalization,10398,7.8,
Alabama,2019,201908,Mental health disorder,Outpatient,136611,102.7,
Alabama,2019,201908,Substance use disorder,Outpatient,3050,2.3,
Alabama,2019,201908,Mental health disorder,Telehealth,45,0.0,
Alabama,2019,201908,Substance use disorder,Telehealth,70,0.1,
Alabama,2019,201909,Mental health disorder,Emergency department,6615,5.0,
Alabama,2019,201909,Substance use disorder,Emergency department,9043,6.8,
Alabama,2019,201909,Mental health disorder,Inpatient,3517,2.7,
Alabama,2019,201909,Substance use disorder,Inpatient,3924,3.0,
Alabama,2019,201909,Mental health disorder,Intensive outpatient/Partial hospitalization,10573,8.0,
Alabama,2019,201909,Substance use disorder,Intensive outpatient/Partial hospitalization,9730,7.4,
Alabama,2019,201909,Mental health disorder,Outpatient,132932,100.5,
Alabama,2019,201909,Substance use disorder,Outpatient,2862,2.2,
Alabama,2019,201909,Mental health disorder,Telehealth,60,0.0,
Alabama,2019,201909,Substance use disorder,Telehealth,53,0.0,
Alabama,2019,201910,Mental health disorder,Emergency department,6351,4.8,
Alabama,2019,201910,Substance use disorder,Emergency department,8736,6.6,
Alabama,2019,201910,Mental health disorder,Inpatient,3556,2.7,
Alabama,2019,201910,Substance use disorder,Inpatient,3800,2.9,
Alabama,2019,201910,Mental health disorder,Intensive outpatient/Partial hospitalization,12013,9.1,
Alabama,2019,201910,Substance use disorder,Intensive outpatient/Partial hospitalization,10946,8.3,
Alabama,2019,201910,Mental health disorder,Outpatient,142456,108.3,
Alabama,2019,201910,Substance use disorder,Outpatient,3534,2.7,
Alabama,2019,201910,Mental health disorder,Telehealth,50,0.0,
Alabama,2019,201910,Substance use disorder,Telehealth,88,0.1,
Alabama,2019,201911,Mental health disorder,Emergency department,5842,4.6,
Alabama,2019,201911,Substance use disorder,Emergency department,8288,6.5,
Alabama,2019,201911,Mental health disorder,Inpatient,3109,2.4,
Alabama,2019,201911,Substance use disorder,Inpatient,3569,2.8,
Alabama,2019,201911,Mental health disorder,Intensive outpatient/Partial hospitalization,9401,7.4,
Alabama,2019,201911,Substance use disorder,Intensive outpatient/Partial hospitalization,9493,7.5,
Alabama,2019,201911,Mental health disorder,Outpatient,122065,96.2,
Alabama,2019,201911,Substance use disorder,Outpatient,2980,2.3,
Alabama,2019,201911,Mental health disorder,Telehealth,32,0.0,
Alabama,2019,201911,Substance use disorder,Telehealth,60,0.0,
Alabama,2019,201912,Mental health disorder,Emergency department,5510,4.5,
Alabama,2019,201912,Substance use disorder,Emergency department,8745,7.1,
Alabama,2019,201912,Mental health disorder,Inpatient,3124,2.5,
Alabama,2019,201912,Substance use disorder,Inpatient,3530,2.9,
Alabama,2019,201912,Mental health disorder,Intensive outpatient/Partial hospitalization,9642,7.8,
Alabama,2019,201912,Substance use disorder,Intensive outpatient/Partial hospitalization,9342,7.6,
Alabama,2019,201912,Mental health disorder,Outpatient,117573,95.0,
Alabama,2019,201912,Substance use disorder,Outpatient,3030,2.4,
Alabama,2019,201912,Mental health disorder,Telehealth,40,0.0,
Alabama,2019,201912,Substance use disorder,Telehealth,61,0.0,
Alabama,2020,202001,Mental health disorder,Emergency department,6109,5.0,
Alabama,2020,202001,Substance use disorder,Emergency department,9102,7.4,
Alabama,2020,202001,Mental health disorder,Inpatient,3720,3.0,
Alabama,2020,202001,Substance use disorder,Inpatient,3999,3.3,
Alabama,2020,202001,Mental health disorder,Intensive outpatient/Partial hospitalization,11218,9.1,
Alabama,2020,202001,Substance use disorder,Intensive outpatient/Partial hospitalization,11726,9.6,
Alabama,2020,202001,Mental health disorder,Outpatient,143159,116.7,
Alabama,2020,202001,Substance use disorder,Outpatient,3737,3.0,
Alabama,2020,202001,Mental health disorder,Telehealth,61,0.0,
Alabama,2020,202001,Substance use disorder,Telehealth,98,0.1,
Alabama,2020,202002,Mental health disorder,Emergency department,5792,4.8,
Alabama,2020,202002,Substance use disorder,Emergency department,8376,7.0,
Alabama,2020,202002,Mental health disorder,Inpatient,3346,2.8,
Alabama,2020,202002,Substance use disorder,Inpatient,3555,3.0,
Alabama,2020,202002,Mental health disorder,Intensive outpatient/Partial hospitalization,10461,8.7,
Alabama,2020,202002,Substance use disorder,Intensive outpatient/Partial hospitalization,10656,8.9,
Alabama,2020,202002,Mental health disorder,Outpatient,132182,110.3,
Alabama,2020,202002,Substance use disorder,Outpatient,3578,3.0,
Alabama,2020,202002,Mental health disorder,Telehealth,81,0.1,
Alabama,2020,202002,Substance use disorder,Telehealth,87,0.1,
Alabama,2020,202003,Mental health disorder,Emergency department,4837,4.1,
Alabama,2020,202003,Substance use disorder,Emergency department,7693,6.5,
Alabama,2020,202003,Mental health disorder,Inpatient,2924,2.5,
Alabama,2020,202003,Substance use disorder,Inpatient,3216,2.7,
Alabama,2020,202003,Mental health disorder,Intensive outpatient/Partial hospitalization,8201,6.9,
Alabama,2020,202003,Substance use disorder,Intensive outpatient/Partial hospitalization,9918,8.4,
Alabama,2020,202003,Mental health disorder,Outpatient,109643,92.9,
Alabama,2020,202003,Substance use disorder,Outpatient,2680,2.3,
Alabama,2020,202003,Mental health disorder,Telehealth,7206,6.1,
Alabama,2020,202003,Substance use disorder,Telehealth,1532,1.3,
Alabama,2020,202004,Mental health disorder,Emergency department,3216,2.7,
Alabama,2020,202004,Substance use disorder,Emergency department,5250,4.4,
Alabama,2020,202004,Mental health disorder,Inpatient,2283,1.9,
Alabama,2020,202004,Substance use disorder,Inpatient,2506,2.1,
Alabama,2020,202004,Mental health disorder,Intensive outpatient/Partial hospitalization,3466,2.9,
Alabama,2020,202004,Substance use disorder,Intensive outpatient/Partial hospitalization,6721,5.7,
Alabama,2020,202004,Mental health disorder,Outpatient,61139,51.5,
Alabama,2020,202004,Substance use disorder,Outpatient,691,0.6,
Alabama,2020,202004,Mental health disorder,Telehealth,29771,25.1,
Alabama,2020,202004,Substance use disorder,Telehealth,5555,4.7,
Alabama,2020,202005,Mental health disorder,Emergency department,4044,3.4,
Alabama,2020,202005,Substance use disorder,Emergency department,6502,5.4,
Alabama,2020,202005,Mental health disorder,Inpatient,2946,2.5,
Alabama,2020,202005,Substance use disorder,Inpatient,3162,2.6,
Alabama,2020,202005,Mental health disorder,Intensive outpatient/Partial hospitalization,4260,3.6,
Alabama,2020,202005,Substance use disorder,Intensive outpatient/Partial hospitalization,7365,6.2,
Alabama,2020,202005,Mental health disorder,Outpatient,65993,55.1,
Alabama,2020,202005,Substance use disorder,Outpatient,779,0.7,
Alabama,2020,202005,Mental health disorder,Telehealth,25370,21.2,
Alabama,2020,202005,Substance use disorder,Telehealth,4283,3.6,
Alabama,2020,202006,Mental health disorder,Emergency department,4516,3.7,
Alabama,2020,202006,Substance use disorder,Emergency department,7171,5.9,
Alabama,2020,202006,Mental health disorder,Inpatient,3159,2.6,
Alabama,2020,202006,Substance use disorder,Inpatient,3312,2.7,
Alabama,2020,202006,Mental health disorder,Intensive outpatient/Partial hospitalization,7655,6.3,
Alabama,2020,202006,Substance use disorder,Intensive outpatient/Partial hospitalization,8624,7.1,
Alabama,2020,202006,Mental health disorder,Outpatient,78177,64.7,
Alabama,2020,202006,Substance use disorder,Outpatient,1352,1.1,
Alabama,2020,202006,Mental health disorder,Telehealth,22305,18.5,
Alabama,2020,202006,Substance use disorder,Telehealth,3757,3.1,
Alabama,2020,202007,Mental health disorder,Emergency department,4649,3.8,
Alabama,2020,202007,Substance use disorder,Emergency department,7199,5.9,
Alabama,2020,202007,Mental health disorder,Inpatient,3128,2.6,
Alabama,2020,202007,Substance use disorder,Inpatient,3193,2.6,
Alabama,2020,202007,Mental health disorder,Intensive outpatient/Partial hospitalization,7938,6.5,
Alabama,2020,202007,Substance use disorder,Intensive outpatient/Partial hospitalization,8797,7.2,
Alabama,2020,202007,Mental health disorder,Outpatient,77241,63.4,
Alabama,2020,202007,Substance use disorder,Outpatient,1429,1.2,
Alabama,2020,202007,Mental health disorder,Telehealth,22721,18.6,
Alabama,2020,202007,Substance use disorder,Telehealth,3620,3.0,
Alabama,2020,202008,Mental health disorder,Emergency department,4531,3.7,
Alabama,2020,202008,Substance use disorder,Emergency department,7405,6.0,
Alabama,2020,202008,Mental health disorder,Inpatient,3157,2.6,
Alabama,2020,202008,Substance use disorder,Inpatient,3275,2.7,
Alabama,2020,202008,Mental health disorder,Intensive outpatient/Partial hospitalization,6291,5.1,
Alabama,2020,202008,Substance use disorder,Intensive outpatient/Partial hospitalization,8583,7.0,
Alabama,2020,202008,Mental health disorder,Outpatient,79166,64.4,
Alabama,2020,202008,Substance use disorder,Outpatient,1481,1.2,
Alabama,2020,202008,Mental health disorder,Telehealth,22462,18.3,
Alabama,2020,202008,Substance use disorder,Telehealth,3291,2.7,
Alabama,2020,202009,Mental health disorder,Emergency department,4907,4.0,
Alabama,2020,202009,Substance use disorder,Emergency department,7486,6.1,
Alabama,2020,202009,Mental health disorder,Inpatient,3108,2.5,
Alabama,2020,202009,Substance use disorder,Inpatient,3221,2.6,
Alabama,2020,202009,Mental health disorder,Intensive outpatient/Partial hospitalization,6677,5.4,
Alabama,2020,202009,Substance use disorder,Intensive outpatient/Partial hospitalization,8659,7.0,
Alabama,2020,202009,Mental health disorder,Outpatient,82382,66.8,
Alabama,2020,202009,Substance use disorder,Outpatient,1366,1.1,
Alabama,2020,202009,Mental health disorder,Telehealth,20752,16.8,
Alabama,2020,202009,Substance use disorder,Telehealth,3111,2.5,
Alabama,2020,202010,Mental health disorder,Emergency department,4872,3.9,
Alabama,2020,202010,Substance use disorder,Emergency department,7800,6.3,
Alabama,2020,202010,Mental health disorder,Inpatient,3167,2.6,
Alabama,2020,202010,Substance use disorder,Inpatient,3288,2.7,
Alabama,2020,202010,Mental health disorder,Intensive outpatient/Partial hospitalization,7275,5.9,
Alabama,2020,202010,Substance use disorder,Intensive outpatient/Partial hospitalization,9223,7.4,
Alabama,2020,202010,Mental health disorder,Outpatient,90653,73.2,
Alabama,2020,202010,Substance use disorder,Outpatient,1660,1.3,
Alabama,2020,202010,Mental health disorder,Telehealth,17945,14.5,
Alabama,2020,202010,Substance use disorder,Telehealth,2889,2.3,
Alabama,2020,202011,Mental health disorder,Emergency department,4520,3.6,
Alabama,2020,202011,Substance use disorder,Emergency department,7534,6.0,
Alabama,2020,202011,Mental health disorder,Inpatient,2931,2.4,
Alabama,2020,202011,Substance use disorder,Inpatient,2998,2.4,
Alabama,2020,202011,Mental health disorder,Intensive outpatient/Partial hospitalization,6010,4.8,
Alabama,2020,202011,Substance use disorder,Intensive outpatient/Partial hospitalization,8382,6.7,
Alabama,2020,202011,Mental health disorder,Outpatient,82934,66.5,
Alabama,2020,202011,Substance use disorder,Outpatient,1579,1.3,
Alabama,2020,202011,Mental health disorder,Telehealth,15685,12.6,
Alabama,2020,202011,Substance use disorder,Telehealth,2565,2.1,
Alabama,2020,202012,Mental health disorder,Emergency department,4247,3.4,
Alabama,2020,202012,Substance use disorder,Emergency department,6737,5.4,
Alabama,2020,202012,Mental health disorder,Inpatient,2717,2.2,
Alabama,2020,202012,Substance use disorder,Inpatient,2785,2.2,
Alabama,2020,202012,Mental health disorder,Intensive outpatient/Partial hospitalization,5697,4.5,
Alabama,2020,202012,Substance use disorder,Intensive outpatient/Partial hospitalization,8097,6.5,
Alabama,2020,202012,Mental health disorder,Outpatient,79062,63.0,
Alabama,2020,202012,Substance use disorder,Outpatient,1517,1.2,
Alabama,2020,202012,Mental health disorder,Telehealth,16751,13.3,
Alabama,2020,202012,Substance use disorder,Telehealth,2883,2.3,
Alaska,2018,201801,Mental health disorder,Emergency department,1115,5.3,
Alaska,2018,201801,Substance use disorder,Emergency department,1791,8.5,
Alaska,2018,201801,Mental health disorder,Inpatient,376,1.8,
Alaska,2018,201801,Substance use disorder,Inpatient,745,3.5,
Alaska,2018,201801,Mental health disorder,Intensive outpatient/Partial hospitalization,499,2.4,
Alaska,2018,201801,Substance use disorder,Intensive outpatient/Partial hospitalization,10613,50.1,
Alaska,2018,201801,Mental health disorder,Outpatient,35252,166.6,
Alaska,2018,201801,Substance use disorder,Outpatient,1054,5.0,
Alaska,2018,201801,Mental health disorder,Telehealth,99,0.5,
Alaska,2018,201801,Substance use disorder,Telehealth,170,0.8,
Alaska,2018,201802,Mental health disorder,Emergency department,1008,4.7,
Alaska,2018,201802,Substance use disorder,Emergency department,1822,8.6,
Alaska,2018,201802,Mental health disorder,Inpatient,399,1.9,
Alaska,2018,201802,Substance use disorder,Inpatient,750,3.5,
Alaska,2018,201802,Mental health disorder,Intensive outpatient/Partial hospitalization,427,2.0,
Alaska,2018,201802,Substance use disorder,Intensive outpatient/Partial hospitalization,9731,45.8,
Alaska,2018,201802,Mental health disorder,Outpatient,33244,156.4,
Alaska,2018,201802,Substance use disorder,Outpatient,943,4.4,
Alaska,2018,201802,Mental health disorder,Telehealth,126,0.6,
Alaska,2018,201802,Substance use disorder,Telehealth,176,0.8,
Alaska,2018,201803,Mental health disorder,Emergency department,1115,5.2,
Alaska,2018,201803,Substance use disorder,Emergency department,2323,10.8,
Alaska,2018,201803,Mental health disorder,Inpatient,394,1.8,
Alaska,2018,201803,Substance use disorder,Inpatient,725,3.4,
Alaska,2018,201803,Mental health disorder,Intensive outpatient/Partial hospitalization,474,2.2,
Alaska,2018,201803,Substance use disorder,Intensive outpatient/Partial hospitalization,10865,50.7,
Alaska,2018,201803,Mental health disorder,Outpatient,36074,168.2,
Alaska,2018,201803,Substance use disorder,Outpatient,1042,4.9,
Alaska,2018,201803,Mental health disorder,Telehealth,106,0.5,
Alaska,2018,201803,Substance use disorder,Telehealth,285,1.3,
Alaska,2018,201804,Mental health disorder,Emergency department,1062,4.9,
Alaska,2018,201804,Substance use disorder,Emergency department,2290,10.6,
Alaska,2018,201804,Mental health disorder,Inpatient,390,1.8,
Alaska,2018,201804,Substance use disorder,Inpatient,732,3.4,
